"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E540","2020-04-10 00:00:00","32.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0D660","2020-04-10 00:00:00","65.000","71.000","2.400","19.200","0.690","1010.500","","0.000","-99.000","-99.000","-99.000","23.700","","18.600",""
"C0U650","2020-04-10 00:00:00","442.000","115.000","0.800","15.900","0.850","970.300","","0.000","-99.000","-99.000","-99.000","19.500","","15.700",""
"C0G810","2020-04-10 00:00:00","26.000","0.000","0.000","19.800","0.810","1014.500","","0.000","-99.000","-99.000","-99.000","27.200","","18.500",""
"C0F9Z0","2020-04-10 00:00:00","3193.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0M410","2020-04-10 00:00:00","245.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0I410","2020-04-10 00:00:00","180.000","0.000","0.000","19.800","0.810","996.700","","0.000","-99.000","-99.000","-99.000","27.400","","18.200",""
"C0R840","2020-04-10 00:00:00","536.000","43.000","6.500","17.100","-99.000","957.900","","0.000","-99.000","-99.000","-99.000","24.000","","17.100",""
"C0K250","2020-04-10 00:00:00","12.000","0.000","0.000","16.600","0.930","1016.400","","0.000","-99.000","-99.000","-99.000","25.700","","16.600",""
"C0AH80","2020-04-10 00:00:00","68.000","58.000","0.700","15.400","0.970","1011.700","","0.500","-99.000","-99.000","-99.000","22.300","","15.400",""
"C0V640","2020-04-10 00:00:00","35.000","64.000","1.500","21.000","0.900","1013.700","","0.000","-99.000","-99.000","-99.000","27.200","","19.500",""
"C0S920","2020-04-10 00:00:00","98.000","310.000","1.700","18.800","0.760","1004.100","","0.000","-99.000","-99.000","-99.000","26.100","","18.400",""
"C0S830","2020-04-10 00:00:00","288.000","315.000","1.500","19.800","0.690","988.700","","0.000","-99.000","-99.000","-99.000","21.300","","19.100",""
"C0V800","2020-04-10 00:00:00","256.000","0.000","0.000","21.100","0.870","987.300","","0.000","-99.000","-99.000","-99.000","28.600","","19.000",""
"C0R140","2020-04-10 00:00:00","740.000","0.000","0.100","16.600","1.000","937.200","","0.000","-99.000","-99.000","-99.000","23.100","","16.300",""
"C0K410","2020-04-10 00:00:00","20.000","39.000","1.600","19.400","0.790","1014.300","","0.000","-99.000","-99.000","-99.000","25.600","","18.000",""
"C0F000","2020-04-10 00:00:00","273.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0W150","2020-04-10 00:00:00","42.000","27.000","3.800","18.000","0.670","1016.400","","0.000","-99.000","-99.000","-99.000","24.000","","15.400",""
"C0AH90","2020-04-10 00:00:00","660.000","0.000","0.000","13.000","0.990","948.500","","0.500","-99.000","-99.000","-99.000","19.900","","12.900",""
"C0F9K0","2020-04-10 00:00:00","30.000","24.000","1.100","18.200","0.820","1013.000","","0.000","-99.000","-99.000","-99.000","24.900","","18.200",""
"C0H990","2020-04-10 00:00:00","3076.000","247.000","4.200","2.600","0.620","707.400","","0.000","-99.000","-99.000","-99.000","4.700","","0.800",""
"C0V260","2020-04-10 00:00:00","126.000","48.000","1.400","20.600","0.920","1003.500","","0.000","-99.000","-99.000","-99.000","30.500","","18.500",""
"C0S970","2020-04-10 00:00:00","19.000","342.000","0.800","21.400","0.610","1017.200","","0.500","-99.000","-99.000","-99.000","25.400","","20.000",""
"C0U940","2020-04-10 00:00:00","25.000","254.000","1.600","17.600","0.830","1019.000","","0.000","-99.000","-99.000","-99.000","22.900","","17.400",""
"C0A860","2020-04-10 00:00:00","362.000","339.000","1.000","14.700","1.000","978.600","","4.000","-99.000","-99.000","-99.000","20.500","","14.100",""
"C0F0C0","2020-04-10 00:00:00","983.000","0.000","0.200","17.100","0.800","908.300","","0.000","-99.000","-99.000","-99.000","21.300","","14.800",""
"C0U860","2020-04-10 00:00:00","5.000","0.000","0.000","17.100","0.910","1020.400","","0.000","-99.000","-99.000","-99.000","23.200","","17.100",""
"C0UA50","2020-04-10 00:00:00","808.000","282.000","1.500","12.900","1.000","929.600","","0.500","-99.000","-99.000","-99.000","14.600","","12.900",""
"C0X320","2020-04-10 00:00:00","30.000","180.000","1.000","17.800","0.950","1013.700","","0.000","-99.000","-99.000","-99.000","27.700","","17.500",""
"C0T960","2020-04-10 00:00:00","120.000","0.000","0.100","16.800","0.990","1006.900","","0.000","-99.000","-99.000","-99.000","22.900","","16.800",""
"C0SA80","2020-04-10 00:00:00","136.000","238.000","0.500","18.500","0.890","1004.300","","0.000","-99.000","-99.000","-99.000","25.100","","18.000",""
"C0E780","2020-04-10 00:00:00","160.000","0.000","0.000","16.400","0.920","999.400","","0.000","-99.000","-99.000","-99.000","26.100","","16.400",""
"C0F9Q0","2020-04-10 00:00:00","149.000","132.000","1.400","18.400","0.830","999.100","","0.000","-99.000","-99.000","-99.000","26.100","","17.600",""
"C0F9X0","2020-04-10 00:00:00","166.000","0.000","0.000","19.600","0.780","1003.200","","0.000","-99.000","-99.000","-99.000","25.400","","17.800",""
"C0F0D0","2020-04-10 00:00:00","3171.000","151.000","3.300","0.300","0.600","698.900","","0.000","-99.000","-99.000","-99.000","10.700","","0.200",""
"C0S730","2020-04-10 00:00:00","110.000","29.000","7.100","21.200","0.830","1006.600","","0.000","-99.000","-99.000","-99.000","23.600","","21.100",""
"C0T790","2020-04-10 00:00:00","2830.000","13.000","0.500","4.300","0.690","728.700","","0.000","-99.000","-99.000","-99.000","15.000","","3.400",""
